,UHS
2017-02-13,113.83917999267578
2017-02-14,117.14192962646484
2017-02-15,118.2138900756836
2017-02-16,117.94347381591797
2017-02-17,118.7353744506836
2017-02-21,120.37710571289062
2017-02-22,119.50794219970703
2017-02-23,120.28056335449219
2017-02-24,121.66151428222656
2017-02-27,122.40571594238281
2017-02-28,121.390869140625
2017-03-01,121.35223388671875
2017-03-02,118.71373748779297
2017-03-03,121.37154388427734
2017-03-06,122.31871032714844
2017-03-07,119.6028823852539
2017-03-08,119.6608657836914
2017-03-09,119.7865219116211
2017-03-10,117.73757934570312
2017-03-13,117.89221954345703
2017-03-14,116.02689361572266
2017-03-15,117.39929962158203
2017-03-16,116.65509796142578
2017-03-17,116.05589294433594
2017-03-20,115.49530792236328
2017-03-21,114.11324310302734
2017-03-22,114.74146270751953
2017-03-23,114.84779357910156
2017-03-24,117.80521392822266
2017-03-27,121.74847412109375
2017-03-28,121.26525115966797
2017-03-29,120.38573455810547
2017-03-30,121.44889068603516
2017-03-31,120.2794418334961
2017-04-03,120.878662109375
2017-04-04,118.91667938232422
2017-04-05,119.5062484741211
2017-04-06,119.82516479492188
2017-04-07,119.12933349609375
2017-04-10,119.31295013427734
2017-04-11,118.75238800048828
2017-04-12,118.93600463867188
2017-04-13,117.72791290283203
2017-04-17,117.91153717041016
2017-04-18,115.87225341796875
2017-04-19,116.06554412841797
2017-04-20,115.13773345947266
2017-04-21,114.85743713378906
2017-04-24,116.848388671875
2017-04-25,117.35096740722656
2017-04-26,114.49983978271484
2017-04-27,114.2485580444336
2017-04-28,116.71307373046875
2017-05-01,116.40381622314453
2017-05-02,120.23109436035156
2017-05-03,119.56421661376953
2017-05-04,118.394775390625
2017-05-05,117.90186309814453
2017-05-08,117.25431060791016
2017-05-09,118.394775390625
2017-05-10,119.46758270263672
2017-05-11,118.71373748779297
2017-05-12,118.19181823730469
2017-05-15,117.7665786743164
2017-05-16,116.80974578857422
2017-05-17,114.62547302246094
2017-05-18,114.45149230957031
2017-05-19,114.70279693603516
2017-05-22,115.86259460449219
2017-05-23,114.85743713378906
2017-05-24,112.17058563232422
2017-05-25,113.37872314453125
2017-05-26,112.18025970458984
2017-05-30,111.36771392822266
2017-05-31,109.94575500488281
2017-06-01,112.01579284667969
2017-06-02,110.41975402832031
2017-06-05,111.0871810913086
2017-06-06,109.79097747802734
2017-06-07,109.24928283691406
2017-06-08,108.65921020507812
2017-06-09,109.7232437133789
2017-06-12,111.81267547607422
2017-06-13,112.05449676513672
2017-06-14,113.07020568847656
2017-06-15,112.23831176757812
2017-06-16,111.30967712402344
2017-06-19,111.74495697021484
2017-06-20,110.40038299560547
2017-06-21,109.52012634277344
2017-06-22,111.4450912475586
2017-06-23,111.65790557861328
2017-06-26,112.09319305419922
2017-06-27,114.18260192871094
2017-06-28,116.48484802246094
2017-06-29,117.8971176147461
2017-06-30,118.0905990600586
2017-07-03,117.56824493408203
2017-07-05,118.32274627685547
2017-07-06,115.82706451416016
2017-07-07,118.05188751220703
2017-07-10,117.7713623046875
2017-07-11,118.14863586425781
2017-07-12,118.7967300415039
2017-07-13,119.04822540283203
2017-07-14,120.10263061523438
2017-07-17,120.04457092285156
2017-07-18,119.42550659179688
2017-07-19,119.6383056640625
2017-07-20,120.9151611328125
2017-07-21,120.35411834716797
2017-07-24,120.26705932617188
2017-07-25,118.88380432128906
2017-07-26,109.19122314453125
2017-07-27,106.75357818603516
2017-07-28,107.85633850097656
2017-07-31,107.2082290649414
2017-08-01,107.54678344726562
2017-08-02,105.08979797363281
2017-08-03,104.83828735351562
2017-08-04,104.55776977539062
2017-08-07,103.7452163696289
2017-08-08,103.85162353515625
2017-08-09,103.35826873779297
2017-08-10,101.92665100097656
2017-08-11,104.07408142089844
2017-08-14,104.17086029052734
2017-08-15,104.7125473022461
2017-08-16,105.12848663330078
2017-08-17,103.6775131225586
2017-08-18,104.46104431152344
2017-08-21,104.31592559814453
2017-08-22,104.93502044677734
2017-08-23,104.44168090820312
2017-08-24,105.07044982910156
2017-08-25,105.3799819946289
2017-08-28,105.50576782226562
2017-08-29,103.43568420410156
